jp_name,en_name,type,description
売上計上月度,sales_accounting_period,DATE,売上計上月度
営業所コード,branch_code,INT64,営業所コード
営業所名称,branch_name,STRING,営業所名称
部署コード,department_code,INT64,部署コード
部署名称,department_name,STRING,部署名称
担当者コード,staff_code,INT64,担当者コード
担当者名称,staff_name,STRING,担当者名称
大部門コード,major_department_code,INT64,大部門コード
大部門名称,major_department_name,STRING,大部門名称
部門コード,division_code,INT64,部門コード
部門名称,division_name,STRING,部門名称
売上目標,sales_target,INT64,売上目標
売上実績,sales_actual,INT64,売上実績
粗利目標,gross_profit_target,INT64,粗利目標
粗利実績,gross_profit_actual,INT64,粗利実績
前年売上目標,prev_year_sales_target,INT64,前年売上目標
前年売上実績,prev_year_sales_actual,INT64,前年売上実績
前年粗利目標,prev_year_gross_profit_target,INT64,前年粗利目標
前年粗利実績,prev_year_gross_profit_actual,INT64,前年粗利実績
