jp_name,en_name,type
営業所CD,branch_code,INT64
営業所名称,branch_name,STRING
営業担当者コード,staff_code,INT64
営業担当者名,staff_name,STRING
物件No,property_number,STRING
物件名称１,property_name_1,STRING
物件名称２,property_name_2,STRING
得意先CD,customer_code,INT64
得意先名,customer_name,STRING
契約日,contract_date,DATE
着工予定日,construction_start_date,DATE
完工予定日,construction_end_date,DATE
工事計上基準区分,construction_accounting_standard,INT64
契約金額,contract_amount,INT64
実行予算,execution_budget,INT64
予定粗利金額,planned_gross_profit_amount,INT64
予定粗利率(画面),planned_gross_profit_rate_display,NUMERIC
予定粗利率(算出),planned_gross_profit_rate_calculated,NUMERIC
粗利率差(画面－算出),gross_profit_rate_diff,NUMERIC
仕入実績,purchase_actual,INT64
実績粗利金額,actual_gross_profit_amount,INT64
実績粗利率,actual_gross_profit_rate,NUMERIC
予算差異(予算－実績),budget_variance,INT64
原価進捗率(実績÷予算),cost_progress_rate,NUMERIC
仕掛金額,work_in_progress_amount,INT64
売上金額,sales_amount,INT64
出来高比率(売上÷契約),completion_rate_sales,NUMERIC
売上原価,cost_of_sales,INT64
粗利額,gross_profit_amount,INT64
粗利率,gross_profit_rate,NUMERIC
請求金額(税抜),billing_amount_excl_tax,INT64
出来高比率(請求÷契約),completion_rate_billing,NUMERIC
請求消費税,billing_consumption_tax,INT64
請求金額(税込),billing_amount_incl_tax,INT64
入金金額,payment_amount,INT64
未請求残高(売上－請求),unbilled_balance,INT64
未回収残高(請求－入金),uncollected_balance,INT64
完工日,completion_date,DATE
物件完了フラグ,property_completion_flag,INT64
更新日時,updated_at,DATETIME
物件月度,property_period,DATE
