jp_name,en_name,type,description
会計年度,sales_accounting_period,DATE,会計年度
コード,code,STRING,コード
科目名,subject_name,STRING,科目名
合計,total,INT64,合計
本店,head_office,INT64,本店
工事営業１課,construction_sales_section_1,INT64,工事営業１課
改修課,renovation_section,INT64,改修課
業務課,operations_section,INT64,業務課
硝子建材営業課,glass_building_material_sales_section,INT64,硝子建材営業課
工事営業部,construction_sales_department,INT64,工事営業部
第一施工,construction_division_1,INT64,第一施工
硝子建材,glass_building_material,INT64,硝子建材
樹脂,resin,INT64,樹脂
施工,construction,INT64,施工
業務,operations,INT64,業務
ＧＳ,gs,INT64,ＧＳ
第二施工,construction_division_2,INT64,第二施工
福北（大和ハウス硝子）,fukuhoku_daiwa_glass,INT64,福北（大和ハウス硝子）
福北（大和ハウス溶接）,fukuhoku_daiwa_welding,INT64,福北（大和ハウス溶接）
福北（大和ハウス支店）,fukuhoku_daiwa_branch,INT64,福北（大和ハウス支店）
福北（ナガワ）,fukuhoku_nagawa,INT64,福北（ナガワ）
福北（諸口）,fukuhoku_moroguchi,INT64,福北（諸口）
福北（テクノ）,fukuhoku_techno,INT64,福北（テクノ）
福北（共通）,fukuhoku_common,INT64,福北（共通）
工事,construction_department,INT64,工事
硝子建材営業部,glass_building_material_sales_department,INT64,硝子建材営業部
業務部,operations_department,INT64,業務部
施工部,construction_division_department,INT64,施工部
進行売上　決算用,progress_sales_for_settlement,INT64,進行売上　決算用
完工売上　決算用,completed_sales_for_settlement,INT64,完工売上　決算用
その他,others,INT64,その他
