jp_name,en_name,type,description
期間,period,DATE,期間
項目,item,STRING,項目
東京支店計,tokyo_branch_total,NUMERIC,東京支店計
工事営業部計,construction_sales_department_total,NUMERIC,工事営業部計
"佐々木
（大成・鹿島他）",company_sasaki,NUMERIC,"佐々木
（大成・鹿島他）"
"浅井
（清水他）",company_asai,NUMERIC,"浅井
（清水他）"
"小笠原
（三井住友他）",company_ogasawara,NUMERIC,"小笠原
（三井住友他）"
"高石
（内装・リニューアル）",company_takaishi,NUMERIC,"高石
（内装・リニューアル）"
ガラス工事計,glass_construction_total,NUMERIC,ガラス工事計
"山本
（改装）",company_yamamoto,NUMERIC,"山本
（改装）"
硝子建材営業部,glass_building_material_sales_department,NUMERIC,硝子建材営業部
硝子工事,glass_construction,NUMERIC,硝子工事
ビルサッシ,building_sash,NUMERIC,ビルサッシ
硝子販売,glass_sales,NUMERIC,硝子販売
サッシ販売,sash_sales,NUMERIC,サッシ販売
サッシ完成品,sash_finished_products,NUMERIC,サッシ完成品
その他,others,NUMERIC,その他
