,,東京支店,,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,,福岡支店,,,,,,,,,,,
main_category,secondary_category,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他,未分類,長崎支店計,工事営業部計,ガラス工事,ビルサッシ,硝子建材営業部計,硝子工事,サッシ工事,硝子販売,サッシ販売,完成品(その他),未分類,福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子樹脂計,硝子,建材,樹脂,GSセンター,福北センター,未分類
売上高,前年実績(千円),553651,411171,56916,97392,141262,9185,304755,106416,142480,28124,10467,14600,5298,63541,20450,0,149328,37343,15718,21625,111985,16324,10257,9524,16421,59459,0,331703,168665,113626,38816,16222,150341,53604,76548,20190,4699,7998,0
,本年目標(千円),404707,267997,40580,49280,40465,10850,141175,126822,136710,24000,13700,18800,5050,47910,27250,0,141,41,19,22,100,15,5,7,16,57,0,303,147,119,10,18,144,54,75,15,5,8,0
,本年実績(千円),428029,296282,23518,69641,56946,13956,164061,132221,131747,17537,7945,23888,6323,43397,32657,0,149076,49616,23551,26065,99460,9222,9858,5258,20481,54641,0,286800,160917,138748,7245,14924,113545,45574,52319,15652,3782,8556,0
,前年比(%),0.7731024433,0.7205804627,0.4132008561,0.7150561201,0.4031243087,1.519528081,0.5383371355,1.242492642,0.9246713381,0.6235787823,0.7589843142,1.636178624,1.193434355,0.6829715212,1.596963424,0,0.9983124079,1.3286554,1.498346493,1.20531777,0.8881552535,0.5649217963,0.9611231628,0.552105027,1.247245605,0.9189665282,0,0.8646276958,0.9540626681,1.221091713,0.186650316,0.9199286792,0.7552492573,0.8502074882,0.6834732735,0.7752715543,0.8048520962,1.069739327,0
,目標比(%),1.057625937,1.105540887,0.5795448497,1.413162987,1.40729675,1.286283041,1.16211111,1.042568364,0.963696723,0.730729,0.5798978102,1.270648138,1.25207901,0.9057925694,1.198428514,0,1057.400885,1210.640534,1208.783247,1212.323581,994.59868,614.7870667,1971.6,751.1922857,1280.073188,958.6060526,0,945.4073925,1097.658452,1169.883718,724.5,829.0844444,789.2597541,851.8528224,694.2238366,1043.4906,840.4444444,1018.781496,0
売上総利益,前年実績(千円),63680,36654,4174,9432,11270,3360,28236,8418,27026,5432,2355,2880,1259,10686,4414,0,33475,3418,429,2988,30058,5251,821,4024,3220,16742,0,60656,20315,11664,1932,6720,31338,10771,15999,4568,1289,7714,0
,本年目標(千円),75121,46008,5559,6105,17680,3600,32944,13064,29113,5760,2835,3105,1180,9055,6378,0,43,9,5,4,34,7,1,3,3,19,0,67,26,20,1,6,33,12,18,3,1,8,0
,本年実績(千円),74800,48068,1882,7402,19559,4340,33184,14884,26732,4923,1751,3766,2254,6612,7426,0,45019,11569,5602,5967,33451,7725,2218,2573,3780,17156,0,58328,21026,15698,555,4773,28685,10987,14900,2798,577,8040,0
,前年比(%),1.174625208,1.311409968,0.450864008,0.7847995415,1.735491363,1.29176948,1.17523139,1.768196216,0.9891149615,0.9063218607,0.7435093741,1.307737151,1.789492365,0.6187778034,1.682333484,0,1.344856156,3.384983816,13.04527725,1.996738823,1.112890097,1.471194779,2.70184216,0.6393767914,1.173676321,1.02473266,0,0.9616131384,1.034990615,1.345897509,0.2872954831,0.7102846352,0.915335373,1.020005448,0.931320239,0.6125554203,0.4476338247,1.042264236,0
