branch,yyyymm,main_category,secondary_category,secondary_department,pdf_val,csv_val,diff_pdf_csv,is_equal,is_large_diff,invest_result,差分の許容,real_pdf_val,diff_include_ok
長崎支店,202509,その他損益,本店管理費,工事営業部計,1648,,,,,,,,-1648
長崎支店,202509,その他損益,本店管理費,硝子建材営業部計,2013,,,,,,,,-2013
長崎支店,202509,その他損益,本店管理費,長崎支店計,3661,,,,,,,,-3661
長崎支店,202509,営業経費,本年実績,工事営業部計,8221,,,,,,,,-8221
長崎支店,202509,営業経費,本年実績,硝子建材営業部計,29669,,,,,,,,-29669
長崎支店,202509,営業経費,本年実績,長崎支店計,37890,,,,,,,,-37890
長崎支店,202509,営業経費,本年目標,工事営業部計,9371,,,,,,,,-9371
長崎支店,202509,営業経費,本年目標,硝子建材営業部計,30871,,,,,,,,-30871
長崎支店,202509,営業経費,本年目標,長崎支店計,40242,,,,,,,,-40242
長崎支店,202509,営業利益,本年実績,工事営業部計,3348,,,,,,,,-3348
長崎支店,202509,営業利益,本年実績,硝子建材営業部計,3782,,,,,,,,-3782
長崎支店,202509,営業利益,本年実績,長崎支店計,7130,,,,,,,,-7130
長崎支店,202509,営業利益,本年目標,工事営業部計,-701,,,,,,,,701
長崎支店,202509,営業利益,本年目標,硝子建材営業部計,3129,,,,,,,,-3129
長崎支店,202509,営業利益,本年目標,長崎支店計,2428,,,,,,,,-2428
長崎支店,202509,経常利益,当月経常利益,工事営業部計,1360,,,,,,,,-1360
長崎支店,202509,経常利益,当月経常利益,硝子建材営業部計,996,,,,,,,,-996
長崎支店,202509,経常利益,当月経常利益,長崎支店計,2356,,,,,,,,-2356
長崎支店,202509,経常利益,本年目標,工事営業部計,-2949,,,,,,,,2949
長崎支店,202509,経常利益,本年目標,硝子建材営業部計,16,,,,,,,,-16
長崎支店,202509,経常利益,本年目標,長崎支店計,-2933,,,,,,,,2933
長崎支店,202509,売上高,本年実績,ガラス工事,23551,,,,,,,,-23551
長崎支店,202509,売上高,本年実績,サッシ工事,9858,,,,,,,,-9858
長崎支店,202509,売上高,本年実績,サッシ販売,20481,,,,,,,,-20481
長崎支店,202509,売上高,本年実績,ビルサッシ,26065,,,,,,,,-26065
長崎支店,202509,売上高,本年実績,完成品(その他),54641,,,,,,,,-54641
長崎支店,202509,売上高,本年実績,工事営業部計,49616,,,,,,,,-49616
長崎支店,202509,売上高,本年実績,硝子建材営業部計,99460,,,,,,,,-99460
長崎支店,202509,売上高,本年実績,硝子工事,9222,,,,,,,,-9222
長崎支店,202509,売上高,本年実績,硝子販売,5258,,,,,,,,-5258
長崎支店,202509,売上高,本年実績,長崎支店計,149076,,,,,,,,-149076
長崎支店,202509,売上高,本年目標,ガラス工事,19483,,,,,,,,-19483
長崎支店,202509,売上高,本年目標,サッシ工事,5000,,,,,,,,-5000
長崎支店,202509,売上高,本年目標,サッシ販売,16000,,,,,,,,-16000
長崎支店,202509,売上高,本年目標,ビルサッシ,21500,,,,,,,,-21500
長崎支店,202509,売上高,本年目標,完成品(その他),57000,,,,,,,,-57000
長崎支店,202509,売上高,本年目標,工事営業部計,40983,,,,,,,,-40983
長崎支店,202509,売上高,本年目標,硝子建材営業部計,100000,,,,,,,,-100000
長崎支店,202509,売上高,本年目標,硝子工事,15000,,,,,,,,-15000
長崎支店,202509,売上高,本年目標,硝子販売,7000,,,,,,,,-7000
長崎支店,202509,売上高,本年目標,長崎支店計,140983,,,,,,,,-140983
長崎支店,202509,売上総利益,本年実績,ガラス工事,5602,,,,,,,,-5602
長崎支店,202509,売上総利益,本年実績,サッシ工事,2218,,,,,,,,-2218
長崎支店,202509,売上総利益,本年実績,サッシ販売,3779,,,,,,,,-3779
長崎支店,202509,売上総利益,本年実績,ビルサッシ,5967,,,,,,,,-5967
長崎支店,202509,売上総利益,本年実績,完成品(その他),17156,,,,,,,,-17156
長崎支店,202509,売上総利益,本年実績,工事営業部計,11569,,,,,,,,-11569
長崎支店,202509,売上総利益,本年実績,硝子建材営業部計,33451,,,,,,,,-33451
長崎支店,202509,売上総利益,本年実績,硝子工事,7725,,,,,,,,-7725
長崎支店,202509,売上総利益,本年実績,硝子販売,2573,,,,,,,,-2573
長崎支店,202509,売上総利益,本年実績,長崎支店計,45020,,,,,,,,-45020
長崎支店,202509,売上総利益,本年目標,ガラス工事,4800,,,,,,,,-4800
長崎支店,202509,売上総利益,本年目標,サッシ工事,1400,,,,,,,,-1400
長崎支店,202509,売上総利益,本年目標,サッシ販売,3200,,,,,,,,-3200
長崎支店,202509,売上総利益,本年目標,ビルサッシ,3870,,,,,,,,-3870
長崎支店,202509,売上総利益,本年目標,完成品(その他),19000,,,,,,,,-19000
長崎支店,202509,売上総利益,本年目標,工事営業部計,8670,,,,,,,,-8670
長崎支店,202509,売上総利益,本年目標,硝子建材営業部計,34000,,,,,,,,-34000
長崎支店,202509,売上総利益,本年目標,硝子工事,7200,,,,,,,,-7200
長崎支店,202509,売上総利益,本年目標,硝子販売,3200,,,,,,,,-3200
長崎支店,202509,売上総利益,本年目標,長崎支店計,42670,,,,,,,,-42670
長崎支店,202509,売上総利益率,前年実績,ガラス工事,3,,,,,,,,-3
長崎支店,202509,売上総利益率,前年実績,サッシ工事,8,,,,,,,,-8
長崎支店,202509,売上総利益率,前年実績,サッシ販売,20,,,,,,,,-20
長崎支店,202509,売上総利益率,前年実績,ビルサッシ,14,,,,,,,,-14
長崎支店,202509,売上総利益率,前年実績,完成品(その他),28,,,,,,,,-28
長崎支店,202509,売上総利益率,前年実績,工事営業部計,9,,,,,,,,-9
長崎支店,202509,売上総利益率,前年実績,硝子建材営業部計,27,,,,,,,,-27
