,,東京支店,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,,福岡支店,,,,,,,,,,,
main_category,secondary_category,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他,長崎支店計,工事営業部計,ガラス工事,ビルサッシ,硝子建材営業部計,硝子工事,サッシ工事,硝子販売,サッシ販売,完成品(その他),未分類,福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子樹脂計,硝子,建材,樹脂,GSセンター,福北センター,未分類
売上高,前年実績(千円),568279,422016,99127,69729,144231,7857,320944,101072,146263,26173,11046,20703,3884,65476,18982,184884,58002,19603,38399,126881,21813,9830,13065,20629,61544,0,330733,152560,118273,17834,16453,166058,93185,48838,24035,4940,7176,0
,本年目標(千円),424749,288039,45580,16153,51465,11850,125048,162991,136710,24000,13700,18800,5050,47910,27250,164,34,10,24,130,20,7,9,20,74,0,305,152,124,10,18,141,70,56,15,5,7,0
,本年実績(千円),481529,337877,51508,43471,63381,19411,177771,160106,143652,16084,15709,22039,7531,51258,31032,175524,31917,11008,20909,143607,24514,10118,9824,23379,75773,0,300018,169686,148847,5207,15633,117537,44594,58109,14833,4369,8426,0
,前年比(%),0.8473456933,0.8006264199,0.5196193769,0.62342356,0.4394424425,2.470595745,0.5539006856,1.58407955,0.9821453562,0.6145343826,1.422143762,1.06452152,1.938653857,0.7828448641,1.63485785,0.9493778271,0.5502720063,0.5615341101,0.544522761,1.13182374,1.123784094,1.029298067,0.7519899698,1.133276948,1.231192577,0,0.9071303524,1.112259232,1.258500335,0.2919472684,0.9501483098,0.7078072549,0.4785601619,1.189821613,0.6171651244,0.8844129555,1.174269459,0
,目標比(%),1.133678643,1.173024802,1.1300595,2.691185353,1.231543981,1.638036878,1.421621913,0.9822991085,1.050778868,0.6701640833,1.146642336,1.172268085,1.49119604,1.069870612,1.138802202,1070.616486,940.1997231,1130.491116,863.6665841,1104.672315,1222.618803,1477.080292,1079.603077,1168.9431,1023.954649,0,984.0209781,1117.460283,1201.832814,520.65,868.4916667,831.4478297,637.0633143,1030.960542,988.8866,970.8888889,1174.194677,0
売上総利益,前年実績(千円),61932,36148,4834,5462,14274,2694,27263,8885,25784,4664,2612,2160,872,10274,5202,47127,11441,4226,7216,35686,7755,2415,5057,4185,16273,0,60716,21562,15362,989,5211,31000,15256,11084,4660,1346,6807,0
,本年目標(千円),77604,50491,6367,2149,19442,3810,31768,18723,27113,5760,2835,3105,1080,7955,6378,46,7,2,5,39,8,2,4,4,22,0,67,27,21,1,6,32,15,14,3,1,7,0
,本年実績(千円),80626,55094,12099,4938,7172,5766,29976,25118,25532,3590,2193,3184,1674,7969,6923,45402,7659,3887,3772,37743,7495,2442,4640,4288,18878,0,62937,28128,23123,282,4723,26724,11119,12840,2764,847,7238,0
,前年比(%),1.301847866,1.524120883,2.503087194,0.9040355441,0.5024985026,2.140719671,1.099509324,2.826990105,0.9902325504,0.769855908,0.8393925554,1.473732134,1.918729823,0.7756627164,1.330852303,0.9634060533,0.6694501411,0.9198743078,0.5228016395,1.057652749,0.9664222181,1.011417854,0.9174920774,1.024566369,1.160057312,0,1.036581735,1.304503934,1.505194567,0.2847173056,0.9063590133,0.8620457278,0.7288118607,1.158456687,0.5932184986,0.6292719168,1.06330352,0
,目標比(%),1.038947722,1.091167376,1.900285064,2.297766403,0.3689145664,1.513507349,0.9435883594,1.341570101,0.9417020249,0.6233461806,0.7734222222,1.025329791,1.549708333,1.001758014,1.085437755,987.0078261,1094.200571,1619.577083,820.091087,967.7681026,902.9966265,1436.645882,1325.665429,1158.966216,865.9533028,0,943.4104059,1055.663089,1120.048196,563,858.7723636,833.5541485,741.2726,913.2486486,921.4603333,847,1032.953618,0
売上総利益率,前年実績(%),0.1089822733,0.08565591517,0.04876265375,0.07833271726,0.09896282106,0.3428541209,0.08494632121,0.0879091605,0.1762860856,0.1781952549,0.2364827992,0.1043461145,0.2245608543,0.1569091863,0.2740468221,0.2549005315,0.1972570983,0.2155600095,0.1879135575,0.2812514595,0.3555287677,0.2456487284,0.387084868,0.2028827354,0.2644143783,0,0.1835790981,0.1413366504,0.1298889551,0.05543998161,0.3167333037,0.1866844789,0.163722995,0.2269512407,0.1938861734,0.2724696356,0.9486388696,0
,本年目標(%),0.1827055508,0.1752922347,0.1396884599,0.1330403021,0.3777713009,0.3215189873,0.2540464462,0.1148713733,0.1983249214,0.24,0.2069343066,0.1651595745,0.2138613861,0.1660404926,0.2340550459,0.2805784796,0.2062037883,0.2464824895,0.1900041305,0.3,0.4139650873,0.2481751825,0.3846153846,0.185,0.2945945946,0,0.2188067828,0.175469213,0.1666935809,0.05,0.3055555556,0.2267904134,0.2142857143,0.2494500035,0.2,0.2222222222,0.9764492754,0
,本年実績(%),0.1674385567,0.1630597814,0.2348972721,0.1135914091,0.1131631008,0.2970759431,0.1686209724,0.1568850043,0.1777376628,0.2232335141,0.1395793494,0.1444575981,0.2222529858,0.1554696356,0.2230871903,0.2586670006,0.2399791208,0.3531185567,0.1804176482,0.2628204099,0.305744584,0.2413814983,0.4722766446,0.1834210322,0.2491371688,0,0.209776621,0.1657655079,0.1553500973,0.0540670316,0.3021360788,0.2273649448,0.2493380564,0.2209685719,0.1863631954,0.1938658732,0.8589945361,0
,前年比(%),1.536383411,1.90366049,4.817155221,1.4501145,1.143491056,0.8664791379,1.985029722,1.78462635,1.008234213,1.252746681,0.5902304518,1.384408023,0.9897227481,0.9908255799,0.8140477185,1.014776231,1.216580407,1.638145023,0.9601098006,0.9344677193,0.8599714335,0.9826287313,1.220085525,0.9040741285,0.9422224706,0,1.142704279,1.172841633,1.196022381,0.9752353812,0.9539131986,1.217910274,1.522926308,0.9736389682,0.9611989971,0.7115136802,0.9055021501,0
,目標比(%),0.9164393526,0.9302167988,1.681579655,0.8538120203,0.2995545202,0.9239763584,0.663740725,1.365745005,0.8961942934,0.930139642,0.6745104363,0.8746547003,1.039238499,0.9363356681,0.9531398456,0.9219060599,1.163795888,1.432631411,0.9495459267,0.8760680331,0.7385757722,0.9726254491,1.227919276,0.991465039,0.8456949767,0,0.9587299732,0.9446985317,0.9319500872,1.081340632,0.9888089853,1.002533314,1.163577596,0.8858230856,0.931815977,0.8723964294,0.8797124006,0
営業経費,前年実績(千円),40577,24163,,,,,19856,4306,16415,,,,,,,37057,8315,,,28742,,,,,,,45698,17149,,,,19966,,,,1649,6934,
,本年目標(千円),42393,24839,,,,,21647,3192,17554,,,,,,,39,9,,,30,,,,,,,45,16,,,,21,,,,1,7,
,本年実績(千円),42786,25626,,,,,22498,3128,17159,,,,,,,32733,5419,,,27314,,,,,,,42370,13694,,,,20629,,,,950,7097,
,前年比(%),1.054421158,1.06057113,,,,,1.133033765,0.7264575647,1.045368256,,,,,,,0.8833246364,0.6517410937,,,0.9503247213,,,,,,,0.9271740558,0.7985305266,,,,1.033206451,,,,0.5761067314,1.023507355,
,目標比(%),1.009263911,1.031698096,,,,,1.039307895,0.9800911654,0.9775194258,,,,,,,836.9578624,587.9845937,,,913.7245509,,,,,,,936.6640875,873.9549429,,,,968.5431241,,,,734.7254447,1017.636937,
営業利益,前年実績(千円),21355,11985,,,,,7407,4579,9370,,,,,,,10070,3126,,,6944,,,,,,,15018,4413,,,,11034,,,,-303,-127,
,本年目標(千円),35211,25652,,,,,10121,15531,9559,,,,,,,7,-2,,,9,,,,,,,21,11,,,,11,,,,0,0,
,本年実績(千円),37841,29468,,,,,7478,21990,8373,,,,,,,12669,2240,,,10429,,,,,,,20567,14434,,,,6095,,,,-103,141,
,前年比(%),1.771995071,2.458648955,,,,,1.00963444,4.802624239,0.8936393049,,,,,,,1.258105805,0.7165574532,,,1.501900023,,,,,,,1.369502832,3.27057942,,,,0.5523414499,,,,0.3399339934,-1.109487327,
