,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
display_value の SUM,,,,main_department_sort_order,main_department,secondary_department_sort_order,secondary_department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,
,,,,東京支店,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,福岡支店,,,,,,,,,,,
,,,,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,110,199
main_category_sort_order,main_category,secondary_category_sort_order,secondary_category,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他,長崎支店計,工事営業部計,ガラス工事,ビルサッシ,硝子建材営業部計,硝子工事,サッシ工事,硝子販売,サッシ販売,完成品(その他),福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子樹脂計,硝子,建材,樹脂,GSセンター,福北センター,未分類
1,売上高,1,前年実績(千円),510389,376016,111344,71910,115512,6717,305483,70533,134373,34458,11827,19569,5882,41723,20915,192605,69801,22055,47746,122804,21241,5267,9318,18601,68377,340701,175659,134245,20105,21310,150022,77963,52854,19206,4862,10157,0
,,2,本年目標(千円),461709,324999,60843,37762,69465,13850,181920,143079,136710,24000,13700,18800,5050,47910,27250,179550,49550,21100,28450,130000,20050,6850,9100,20000,74000,289934,137550,109550,10000,18000,137727,70000,52727,15000,4500,10157,0
,,3,本年実績(千円),514273,384163,63190,57159,98685,21247,240281,143883,130110,32753,5494,21522,3506,35209,31625,174267,57343,14185,43158,116924,16152,4355,6751,20906,68760,281995,140416,117512,7879,15025,130073,59279,56713,14082,3749,7757,0
,,4,前年比(%),1.007610002,1.021666701,0.5675183164,0.79487572,0.8543225185,3.163257592,0.7865600207,2.039925805,0.968275035,0.9505258288,0.464530312,1.099832948,0.5961379202,0.8438826136,1.512090782,0.9047910516,0.8215235823,0.6431730699,0.9039080402,0.9521199459,0.7604460688,0.8268778006,0.724543998,1.123868686,1.005596797,0.8276920233,0.7993645475,0.8753552672,0.3918834899,0.7050860333,0.8670271226,0.7603522719,1.073010433,0.7331968379,0.7710818593,0.7637063455,0
,,5,目標比(%),1.113847153,1.182044988,1.038572753,1.513672475,1.420642136,1.534060939,1.320804925,1.005616527,0.9517212786,1.364705458,0.4010218978,1.144808511,0.694330099,0.7349003966,1.160551927,0.9705760178,1.157279657,0.6722848815,1.516977012,0.8994132077,0.805605187,0.6357664234,0.7418659341,1.04527565,0.929187027,0.9726190512,1.020835245,1.0726777,0.78787,0.8347414444,0.9444287975,0.8468423429,1.075589224,0.9387858667,0.8331111111,0.7637195038,0
2,売上総利益,1,前年実績(千円),72820,43459,13049,6338,12032,2320,33739,9719,29361,9300,1877,3390,1231,8874,4690,50375,11376,4938,6438,38999,7273,3766,3622,3722,20616,60287,23664,16876,1100,5688,29266,13599,11935,3732,667,6690,0
,,2,本年目標(千円),83406,56293,8121,4773,21422,4370,38686,16857,27113,5760,2835,3105,1080,7955,6378,49300,10300,5200,5100,39000,8300,1700,3500,3700,21800,63075,23785,17785,500,5500,31200,15000,13200,3000,1000,7090,0
,,3,本年実績(千円),98126,71596,1132,6129,19202,7340,33803,37793,26530,6616,911,3401,628,7139,7834,46388,10897,3969,6928,35491,6625,1594,3100,3881,20291,60170,24507,18647,453,5407,28054,12141,12371,3542,500,7109,0
,,4,前年比(%),1.347516468,1.647463864,0.08673956948,0.9668963881,1.595886881,3.164650516,1.001890458,3.888556598,0.903556431,0.7113644325,0.4856424634,1.003326129,0.5102769801,0.8044980702,1.670465781,0.9208570992,0.9578436855,0.8036873663,1.076075838,0.91006767,0.9108464126,0.4232695495,0.8560479222,1.042873663,0.984237712,0.9980663221,1.035633337,1.104938692,0.4116577248,0.9506430223,0.9585916588,0.8927395199,1.036563788,0.949209387,0.7496251874,1.062638345,0
,,5,目標比(%),1.176485421,1.271851029,0.1393766777,1.284009638,0.8963827374,1.679740732,0.8737846766,2.241981135,0.9784838638,1.148578646,0.3215097002,1.095362641,0.5816,0.8974043997,1.228325337,0.9409372008,1.057940583,0.7631932692,1.358467255,0.9100363077,0.7981625301,0.9377058824,0.885856,1.04904973,0.9307608716,0.9539452081,1.030343704,1.04846393,0.9054,0.983108,0.8991679167,0.8093841333,0.9371946212,1.180769333,0.5,1.002726375,0
3,売上総利益率,1,前年実績(%),0.1426751353,0.1155760774,0.1171965143,0.08814386904,0.1041651676,0.3453346115,0.1104461935,0.1377938676,0.2185066369,0.2699012067,0.1586923142,0.1732261422,0.2092818446,0.2126820111,0.2242369223,0.2615463412,0.1629828538,0.2238941702,0.1348464289,0.3175694307,0.3424175885,0.715075188,0.3887147672,0.2000879074,0.3014974433,0.1769490108,0.1347124975,0.1257105995,0.05469865255,0.2669095329,0.1950770257,0.1744357223,0.2258042575,0.1943063873,0.1371863431,0.6586735977,0
,,2,本年目標(%),0.1806462512,0.1732097637,0.1334746807,0.1263969069,0.3083855179,0.3155234657,0.2126539138,0.1178160317,0.1983249214,0.24,0.2069343066,0.1651595745,0.2138613861,0.1660404926,0.2340550459,0.2745753272,0.2078708375,0.2464454976,0.1792618629,0.3,0.4139650873,0.2481751825,0.3846153846,0.185,0.2945945946,0.2175495113,0.1729189386,0.1623459607,0.05,0.3055555556,0.226535102,0.2142857143,0.2503461225,0.2,0.2222222222,0.6980407601,0
,,3,本年実績(%),0.1908050672,0.186369401,0.0179123297,0.1072192627,0.1945820468,0.3454866779,0.1406821914,0.2626660497,0.2039018563,0.2019914798,0.1659046232,0.158026103,0.1791392629,0.2027560051,0.2477232914,0.2661905251,0.1900275302,0.2797706005,0.1605306929,0.3035433436,0.4101406331,0.3660390356,0.4592660621,0.1856679623,0.295093575,0.2133726597,0.1745295732,0.1586812927,0.05745871781,0.3598648577,0.2156786158,0.2048072568,0.2181344274,0.2515524307,0.1333688984,0.9164933953,0
,,4,前年比(%),1.337339312,1.612525751,0.1528401234,1.21641203,1.868014533,1.000440345,1.273762245,1.906224524,0.9331609288,0.7483904287,1.045448383,0.9122532026,0.8559713495,0.953329358,1.104739081,1.017756639,1.165935715,1.249566258,1.190470479,0.9558330061,1.197779106,0.5118888779,1.18149888,0.927931951,0.9787597923,1.205842625,1.295570763,1.262274568,1.050459474,1.348265286,1.105607465,1.174113043,0.9660332795,1.294617404,0.9721732892,1.391422699,0
,,5,目標比(%),1.056235964,1.075975147,0.1342002064,0.8482744179,0.6309701187,1.094963498,0.6615546777,2.229459318,1.028120192,0.8416311658,0.8017260452,0.956808611,0.837641924,1.221123847,1.058397568,0.9694626526,0.9141615652,1.135223014,0.8955094533,1.011811145,0.9907614089,1.474921996,1.194091761,1.003610607,1.001693787,0.9808004551,1.009314391,0.9774267989,1.149174356,1.177739534,0.9520759204,0.9557671982,0.8713313601,1.257762153,0.6001600427,1.312951116,0
4,営業経費,1,前年実績(千円),41995,24690,,,,,20151,4539,17305,,,,,,,38971,8896,,,30075,,,,,,46360,16699,,,,20810,,,,1666,7185,
,,2,本年目標(千円),43793,25459,,,,,22137,3322,18334,,,,,,,39240,9034,,,30206,,,,,,48482,16735,,,,23089,,,,1433,7225,
,,3,本年実績(千円),44799,26008,,,,,22985,3023,18791,,,,,,,41451,8994,,,32457,,,,,,49297,16514,,,,24046,,,,978,7759,
,,4,前年比(%),1.06677492,1.053400345,,,,,1.140660404,0.6660194029,1.085856877,,,,,,,1.063623519,1.011016152,,,1.079184066,,,,,,1.063352028,0.9889214923,,,,1.155502162,,,,0.5870348139,1.079888657,
,,5,目標比(%),1.022981024,1.021579991,,,,,1.038319149,0.9100343167,1.02492653,,,,,,,1.056335449,0.9955561545,,,1.074513299,,,,,,1.016810363,0.986794144,,,,1.041448309,,,,0.6824842987,1.073910035,
5,営業利益,1,前年実績(千円),30825,18769,,,,,13589,5180,12056,,,,,,,11404,2481,,,8923,,,,,,13927,6965,,,,8456,,,,-999,-495,
,,2,本年目標(千円),39613,30834,,,,,17299,13535,8779,,,,,,,10060,1266,,,8794,,,,,,14593,7050,,,,8111,,,,-433,-135,
,,3,本年実績(千円),53327,45588,,,,,10818,34770,7739,,,,,,,4938,1903,,,3035,,,,,,10873,7993,,,,4008,,,,-478,-650,
,,4,前年比(%),1.729995662,2.428952149,,,,,0.7961054283,6.712419174,0.641884169,,,,,,,0.432974506,0.7671518019,,,0.3400801234,,,,,,0.7807390267,1.14763555,,,,0.4739936927,,,,0.4784784785,1.313162347,
,,5,目標比(%),1.346187741,1.478494681,,,,,0.6253519279,2.568891171,0.8814933364,,,,,,,0.4908152087,1.503107188,,,0.3450838413,,,,,,0.7450897005,1.133719858,,,,0.4941485637,,,,1.103926097,4.81237037,
6,営業外収入（リベート）,3,本年実績(千円),394,337,,,,,337,0,57,,,,,,,736,21,,,715,,,,,,216,150,,,,66,,,,0,0,
7,営業外収入（その他）,3,本年実績(千円),39,0,,,,,0,0,39,,,,,,,0,0,,,0,,,,,,583,0,,,,503,,,,5,75,
8,営業外費用（社内利息A・B）,3,本年実績(千円),5710,3838,,,,,3432,406,1872,,,,,,,1402,375,,,1027,,,,,,5272,2700,,,,2572,,,,0,0,
9,営業外費用（雑損失）,3,本年実績(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,3,0,,,,0,,,,0,3,
10,本店管理費,3,本年実績(千円),6006,4054,,,,,3264,790,1952,,,,,,,3661,1648,,,2013,,,,,,4333,2126,,,,2207,,,,0,0,
11,経常利益,1,前年実績(千円),18912,10594,,,,,6765,3829,8318,,,,,,,6432,750,,,5682,,,,,,9020,4222,,,,6113,,,,-999,-316,
,,2,本年目標(千円),27347,22520,,,,,10135,12385,4827,,,,,,,4699,-982,,,5681,,,,,,5470,2283,,,,3635,,,,-413,-35,
,,3,本年実績(千円),42043,38032,,,,,4459,33574,4011,,,,,,,610,-99,,,709,,,,,,2068,3317,,,,-201,,,,-473,-575,
