,,,,,,,,,,,,,,,,
区分（大）,区分（小）,東京支店 (合計),工事営業部 (計),佐々木,浅井,小笠原,高石,工事部 (ガラス計),改装部門,硝子建材部 (計),建材 (硝子工事),建材 (ビルサッシ),建材 (硝子販売),建材 (サッシ販売),建材 (サッシ完成品),建材 (その他)
売上高,前年実績,"510,289","376,016","111,344","71,910","115,512","6,717","305,483","70,533","134,273","34,358","11,827","19,569","5,882","41,723","20,914"
,本年目標,"461,709","324,999",0,"60,843","37,762","69,465","13,850","181,920","143,079","136,710","24,000","13,700","18,800","5,050","47,910"
,本年実績,"514,274","384,164",0,"63,190","57,159","98,685","21,247","240,281","143,883","130,110","32,753","5,494","21,522","3,506","35,209"
,前年比%,101,102,,57,80,85,316,79,204,97,95,47,110,60,84
,目標比%,111,118,,104,151,142,153,132,101,95,137,40,115,69,74
売上総利益,前年実績,"72,790","43,458","13,049","6,338","12,032","2,320","33,739","9,719","29,332","9,271","1,877","3,390","1,231","8,874","4,689"
,本年目標,"83,406","56,293",0,"8,871","4,773","21,422","4,370","39,436","16,857","27,113","5,760","2,835","3,105","1,080","7,955"
,本年実績,"98,126","71,596",0,"1,132","6,129","19,202","7,340","33,803","37,793","26,530","6,616",911,"3,401",628,"7,139"
,前年比%,134.8,164.7,,8.7,96.7,159.6,316.4,100.2,388.9,90.4,71.4,48.5,100.3,51,80.4
,目標比%,117.6,127.2,,12.8,128.4,89.6,168,85.7,224.2,97.8,114.9,32.1,109.5,58.1,89.7
売総利益率,前年実績,14.30%,11.60%,,11.70%,8.80%,10.40%,34.50%,11.00%,13.80%,21.80%,27.00%,15.90%,17.30%,20.90%,21.30%
,本年目標,18.10%,17.30%,,14.60%,12.60%,30.80%,31.60%,21.70%,11.80%,19.80%,24.00%,20.70%,16.50%,21.40%,16.60%
,本年実績,19.10%,18.60%,,1.80%,10.70%,19.50%,34.50%,14.10%,26.30%,20.40%,20.20%,16.60%,15.80%,17.90%,20.30%
,前年比%,134,161,,15.3,121.7,186.8,100,127,191,93,74.9,104.5,91.2,85.6,95.3
,目標比%,106,108,,12.3,84.8,63.1,110,65,223,103,84.2,80.1,95.7,83.8,122.1
営業経費,前年実績,"41,995","24,690",,,,,"20,151","4,539","17,305","17,305",,,,,
,本年目標,"43,793","25,459",,,,,"22,137","3,322","18,334","18,334",,,,,
,本年実績,"44,799","26,008",,,,,"22,985","3,023","18,791","18,791",,,,,
,前年比%,107,105,,,,,114,67,109,109,,,,,
,目標比%,102,102,,,,,104,91,103,103,,,,,
営業利益,前年実績,"30,795","18,768",,,,,"13,588","5,180","12,027","12,027",,,,,
,本年目標,"39,613","30,834",,,,,"17,299","13,535","8,779","8,779",,,,,
,本年実績,"53,327","45,588",,,,,"10,818","34,770","7,739","7,739",,,,,
,前年比%,173,243,,,,,80,671.2,64,64.3,,,,,
,目標比%,135,148,,,,,63,256.9,88,88.2,,,,,
その他損益,営業外収入(リベート),394,337,,,,,337,0,57,57,,,,,
,営業外収入(その他),0,0,,,,,0,0,0,0,,,,,
,営業外費用,"5,710","3,838",,,,,"3,432",406,"1,872","1,872",,,,,
,本店管理費,"6,006","4,054",,,,,"3,264",790,"1,952","1,952",,,,,
経常利益,本年目標,"27,347","22,520",,,,,"10,135","12,385","4,827","4,827",,,,,
,本年実績,"42,005","38,033",,,,,"4,459","33,574","3,972","3,972",,,,,
,本年累計目標,"68,944","51,933",,,,,"16,605","35,328","17,011","17,011",,,,,
,本年累計実績,"85,136","72,853",,,,,"7,707","65,146","12,283","12,283",,,,,
