cumulative_value の SUM,,,,main_department_sort_order,main_department,secondary_department_sort_order,secondary_department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,
,,,,東京支店,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,福岡支店,,,,,,,,,,,
,,,,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,100,101,102,103,104,105,106,107,108,109,100,101,102,103,104,105,106,107,108,109,110,199
main_category_sort_order,main_category,secondary_category_sort_order,secondary_category,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他,長崎支店計,工事営業部計,ガラス工事,ビルサッシ,硝子建材営業部計,硝子工事,サッシ工事,硝子販売,サッシ販売,完成品(その他),福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子樹脂計,硝子,建材,樹脂,GSセンター,福北センター,未分類
1,売上高,1,本年実績(千円),5611031,3996473,742701,850031,1357181,154914,3104825,891646,1614562,275498,174142,236833,66161,572213,289716,2238816,703262,252188,451074,1535554,237894,81031,108791,232982,874858,4167056,1890481,1533582,133763,223136,1517246,664543,657987,194719,53193,706137,0
,,2,前年実績(千円),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3,本年目標(千円),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,前年比(%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5,目標比(%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,売上総利益,1,本年実績(千円),795046,480631,27851,91383,168228,49982,337442,143187,314416,64232,29462,37333,15401,97408,70579,614259,144336,67975,76360,469924,101186,20453,44016,44815,259454,1201955,318939,251822,8078,59039,335949,142701,154119,39092,12079,534992,0
,,2,前年実績(千円),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3,本年目標(千円),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,4,前年比(%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5,目標比(%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,売上総利益率,1,本年実績(%),0.1416933893,0.1202637926,0.0374996129,0.107505491,0.1239539899,0.3226435312,0.1086830981,0.1605872734,0.194737644,0.233148698,0.1691837696,0.1576342824,0.2327806412,0.1702303163,0.2436144362,0.2743677908,0.2052378772,0.2695409774,0.1692848624,0.3060289641,0.425340698,0.2524095716,0.4045922916,0.1923539158,0.2965669857,0.288442248,0.1687078579,0.1642051093,0.06039039196,0.2645875161,0.2214202575,0.2147355401,0.2342280319,0.2007610968,0.227078751,0.7576320176,0
,,2,前年実績(%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3,本年目標(%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,営業経費,1,本年実績(千円),506584,301139,,,,,246032,55104,205444,,,,,,,461142,102556,,,358586,,,,,,1023038,195438,,,,253222,,,,18273,556105,
,,2,前年実績(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,3,本年目標(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,4,前年比(%),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,5,目標比(%),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
5,営業利益,1,本年実績(千円),288463,179490,,,,,91411,88081,108971,,,,,,,153119,41783,,,111335,,,,,,178917,123501,,,,82727,,,,-6194,-21113,
,,2,前年実績(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,3,本年目標(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,4,前年比(%),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,5,目標比(%),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
6,営業外収入（リベート）,1,本年実績(千円),3104,2636,,,,,2636,0,468,,,,,,,2855,525,,,2331,,,,,,1605,962,,,,643,,,,0,0,
7,営業外収入（その他）,1,本年実績(千円),78,0,,,,,0,0,78,,,,,,,0,0,,,0,,,,,,33891,194,,,,2749,,,,135,30814,
8,営業外費用（社内利息A・B）,1,本年実績(千円),82152,58422,,,,,55542,2880,23728,,,,,,,19015,6499,,,12518,,,,,,62766,32153,,,,30604,,,,0,9,
9,営業外費用（雑損失）,1,本年実績(千円),209,209,,,,,209,0,0,,,,,,,0,0,,,0,,,,,,658,0,,,,202,,,,0,456,
10,本店管理費,1,本年実績(千円),59988,39252,,,,,28368,10884,20736,,,,,,,42108,14736,,,27372,,,,,,0,0,,,,0,,,,0,0,
11,経常利益,1,本年目標(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,2,本年実績(千円),149297,84243,,,,,9926,74318,65054,,,,,,,94851,21073,,,73776,,,,,,151648,92505,,,,55516,,,,-6059,9689,
,,3,累積本年目標(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,4,累積本年実績(千円),1057687,620843,,,,,139813,481029,436843,,,,,,,504705,83694,,,421008,,,,,,964108,493268,,,,468445,,,,-41025,43421,
,,5,累積目標比(%),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,6,累積前年実績(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,7,累積前年比(%),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
,,99,前年実績(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,0,0,,,,0,,,,0,0,
