区分（大）,区分（小）,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他
売上高,前年実績,"568,379","422,016","99,127","69,729","144,231","7,857","320,944","101,072","146,363","26,273","11,046","20,703","3,884","65,476","18,981"
,本年目標,"424,749","288,039","45,580","16,153","51,465","11,850","125,048","162,991","136,710","24,000","13,700","18,800","5,050","47,910",27250
,本年実績,"481,529","337,877","51,508","43,471","63,381","19,411","177,771","160,106","143,652","16,084","15,709","22,039","7,531","51,258",31031
,前年比%,85,80,,52,62,44,247,55,158,98,61,142,107,193.9,78
,目標比%,113,117,,,113,269,123,164,142,98,105,67,115,117,149
売上総利益,前年実績,"61,961","36,148","4,834","5,462","14,273","2,694","27,263","8,885","25,813","4,693","2,612","2,160",872,"10,274",5202
,本年目標,"77,604","50,491","6,367","2,149","19,442","3,810","31,768","18,723","27,113","5,760","2,835","3,105","1,080","7,955",6378
,本年実績,"80,625","55,093","12,099","4,938","7,172","5,766","29,975","25,118","25,532","3,590","2,193","3,184","1,674","7,969",6922
,前年比%,130.1,152.4,250.3,90.4,50.2,214,109.9,282.7,98.9,76.5,84,147.4,192,77.6,
,目標比%,103.9,109.1,190,229.8,36.9,151.3,94.4,134.2,94.2,62.3,77.4,102.5,155,100.2,
売総利益率,前年実績,10.90%,8.60%,4.90%,7.80%,9.90%,34.30%,8.50%,8.80%,17.60%,17.90%,23.60%,10.40%,22.50%,15.70%,27.40%
,本年目標,18.30%,17.50%,14.00%,13.30%,37.80%,32.20%,25.40%,11.50%,19.80%,24.00%,20.70%,16.50%,21.40%,16.60%,23.40%
,本年実績,16.70%,16.30%,23.50%,11.40%,11.30%,29.70%,16.90%,15.70%,17.80%,22.30%,14.00%,14.40%,22.20%,15.50%,22.30%
,前年比%,154,190,481.7,145,114.3,87,199,179,101,125,59,138.5,99,99.1,
,目標比%,92,93,168.2,85.4,30,92,66,137,90,93,67.5,87.5,103.9,93.6,
営業経費,前年実績,"40,578","24,163",,,,,"19,857","4,306","16,415",,,,,,
,本年目標,"42,393","24,839",,,,,"21,647","3,192","17,554",,,,,,
,本年実績,"42,785","25,626",,,,,"22,498","3,128","17,159",,,,,,
,前年比%,105,106,,,,,113,73,105,,,,,,
,目標比%,101,103,,,,,104,98,98,,,,,,
営業利益,前年実績,"21,383","11,985",,,,,"7,406","4,579","9,398",,,,,,
,本年目標,"35,211","25,652",,,,,"10,121","15,531","9,559",,,,,,
,本年実績,"37,840","29,467",,,,,"7,477","21,990","8,373",,,,,,
,前年比%,177,246,,,,,101,480,89.1,,,,,,
,目標比%,108,115,,,,,73.9,142,87.6,,,,,,
その他損益,営業外収入(リベート),210,167,,,,,167,0,43,,,,,,
,営業外収入(その他),39,0,,,,,0,0,39,,,,,,
,営業外費用（社内利息A・B）,"5,985","4,076",,,,,"3,711",365,"1,909",,,,,,
,本店管理費,"6,006","4,054",,,,,"3,264",790,"1,952",,,,,,
経常利益,本年目標,"22,945","17,338",,,,,"2,957","14,381","5,607",,,,,,
,本年実績,"26,098","21,504",,,,,669,"20,835","4,594",,,,,,
,本年累計目標,"41,597","29,413",,,,,"6,470","22,943","12,184",,,,,,
,本年累計実績,"43,131","34,820",,,,,"3,248","31,572","8,311",,,,,,
