区分（大）,区分（小）,福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子樹脂計,硝子,建材,樹脂,GSセンター,福北センター
売上高,前年実績,"330,734","152,560","118,273","17,834","16,453","166,058","93,058","49,318","23,682","4,940","7,176"
,本年目標,"304,890","151,850","123,850","10,000","18,000","141,364","70,000","56,364","15,000","4,500","7,176"
,本年実績,"300,018","169,687","148,847","5,207","15,633","117,536","44,594","58,109","14,833","4,369","8,426"
,前年比%,90.70%,111.20%,125.90%,29.20%,95.00%,70.80%,47.90%,117.80%,62.60%,88.40%,117.40%
,目標比%,98.40%,111.70%,120.20%,52.10%,86.90%,83.10%,63.70%,103.10%,98.90%,97.10%,117.40%
売上総利益,前年実績,"60,715","21,562","15,362",989,"5,211","31,000","15,247","11,288","4,465","1,346","6,807"
,本年目標,"66,712","26,645","20,645",500,"5,500","32,060","15,000","14,060","3,000","1,000","7,007"
,本年実績,"62,936","28,128","23,123",282,"4,723","26,723","11,119","12,840","2,764",847,"7,238"
,前年比%,103.70%,130.50%,150.50%,28.50%,90.60%,86.20%,72.90%,113.70%,61.90%,62.90%,106.30%
,目標比%,94.30%,105.60%,112.00%,56.40%,85.90%,83.40%,74.10%,91.30%,92.10%,84.70%,103.30%
売総利益率,前年実績,18.40%,14.10%,13.00%,5.50%,31.70%,18.70%,16.40%,22.90%,18.90%,27.20%,94.90%
,本年目標,21.90%,17.50%,16.70%,5.00%,30.60%,22.70%,21.40%,24.90%,20.00%,22.20%,97.60%
,本年実績,21.00%,16.60%,15.50%,5.40%,30.20%,22.70%,24.90%,18.60%,22.10%,19.40%,85.90%
,前年比%,114.30%,117.30%,119.60%,97.70%,95.40%,121.80%,152.20%,81.40%,117.20%,71.20%,90.60%
,目標比%,95.90%,94.50%,93.20%,108.30%,98.90%,100.30%,116.40%,74.70%,110.50%,87.20%,88.00%
営業経費,前年実績,"45,699","17,150",,,,"19,966",,,,"1,649","6,934"
,本年目標,"45,235","15,669",,,,"21,299",,,,"1,293","6,974"
,本年実績,"49,442","17,231",,,,"23,931",,,,"1,183","7,097"
,前年比%,108.20%,100.50%,,,,119.90%,,,,72%,102%
,目標比%,109.30%,110.00%,,,,112.40%,,,,91%,102%
営業利益,前年実績,"15,016","4,412",,,,"11,034",,,,-303,-127
,本年目標,"21,477","10,976",,,,"10,761",,,,-293,33
,本年実績,"13,494","10,897",,,,"2,792",,,,-336,141
,前年比%,89.90%,247.00%,,,,25.30%,,,,111%,-111%
,目標比%,62.80%,99.30%,,,,25.90%,,,,115%,427%
その他損益,営業外収入(リベート),118,70,,,,48,,,,,
,営業外収入(その他),422,93,,,,190,,,,63,76
,営業外費用（社内利息A・B）,"5,264","2,643",,,,"2,618",,,,,3
,本店管理費,"4,333","2,126",,,,"2,207",,,,,
経常利益,目標経常利益,"12,354","6,209",,,,"6,285",,,,-273,133
,当月経常利益,"4,437","6,291",,,,"-1,795",,,,-273,214
