,,,,,,,,,,,,
区分（大）,区分（小）,福岡 (合計),工事部 (計),工事部 (硝子),工事部 (ビルサッシ),工事部 (内装),硝子樹脂 (計),建材部 (硝子),建材部 (建材),建材部 (樹脂),GSセンター,福北事業部
売上高,前年実績,"337,559","175,660","134,245","20,105","21,310","150,022","77,932","53,331","18,759","4,862","7,015"
,本年目標,"289,934","137,550","109,550","10,000","18,000","137,727","70,000","52,727","15,000","4,500","10,157"
,本年実績,"281,996","140,416","117,512","7,879","15,025","130,074","59,279","56,713","14,082","3,749","7,757"
,前年比%,83.50%,79.90%,87.50%,39.20%,70.50%,86.70%,76.10%,106.30%,75.10%,77.10%,110.60%
,目標比%,97.30%,102.10%,107.30%,78.80%,83.50%,94.40%,84.70%,107.60%,93.90%,83.30%,76.40%
売上総利益,前年実績,"60,714","23,664","16,876","1,100","5,688","29,266","13,592","12,077","3,597",667,"7,117"
,本年目標,"63,075","23,785","17,785",500,"5,500","31,200","15,000","13,200","3,000","1,000","7,090"
,本年実績,"60,170","24,507","18,647",453,"5,407","28,054","12,141","12,371","3,542",500,"7,109"
,前年比%,99.10%,103.60%,110.50%,41.20%,95.10%,95.90%,89.30%,102.40%,98.50%,75.00%,99.90%
,目標比%,95.40%,103.00%,104.80%,90.60%,98.30%,89.90%,80.90%,93.70%,118.10%,50.00%,100.30%
売総利益率,前年実績,18.00%,13.50%,12.60%,5.50%,26.70%,19.50%,17.40%,22.60%,19.20%,13.70%,101.50%
,本年目標,21.80%,17.30%,16.20%,5.00%,30.60%,22.70%,21.40%,25.00%,20.00%,22.20%,69.80%
,本年実績,21.30%,17.50%,15.90%,5.70%,36.00%,21.60%,20.50%,21.80%,25.20%,13.30%,91.60%
,前年比%,118.60%,129.60%,126.20%,105.10%,134.80%,110.60%,117.40%,96.30%,131.20%,97.20%,90.30%
,目標比%,98.10%,100.90%,97.70%,115.00%,117.80%,95.20%,95.60%,87.10%,125.80%,60.00%,131.30%
営業経費,前年実績,"46,359","16,699",,,,"20,810",,,,"1,665","7,185"
,本年目標,"48,482","16,735",,,,"23,089",,,,"1,433","7,225"
,本年実績,"49,301","16,515",,,,"24,046",,,,977,"7,763"
,前年比%,106.30%,98.90%,,,,115.60%,,,,59%,108%
,目標比%,101.70%,98.70%,,,,104.10%,,,,68%,107%
営業利益,前年実績,"13,928","6,965",,,,"8,456",,,,-998,-495
,本年目標,"14,593","7,050",,,,"8,111",,,,-433,-135
,本年実績,"10,869","7,992",,,,"4,008",,,,-477,-654
,前年比%,78.00%,114.70%,,,,47.40%,,,,48%,132%
,目標比%,74.50%,113.40%,,,,49.40%,,,,110%,484%
その他損益,営業外収入(リベート),216,150,,,,66,,,,,
,営業外収入(その他),584,,,,,503,,,,5,76
,雑損失,3,,,,,0,,,,,3
,社内利息 A・B,"5,269","2,700",,,,"2,572",,,,-3,
,本店管理費,"4,333","2,126",,,,"2,207",,,,,
経常利益,目標経常利益,"5,470","2,283",,,,"3,635",,,,-413,-35
,当月経常利益,"2,064","3,316",,,,-202,,,,-472,-578
