区分（大）,区分（小）,長崎支店 (合計),工事部 (ガラス工事),工事部 (ビルサッシ),工事部 (計),建材部 (硝子工事),建材部 (サッシ工事),建材部 (硝子販売),建材部 (サッシ販売),建材部 (完成品),建材部 (計)
売上高,前年実績,"184,883","19,603","38,399","58,002","20,050","21,813","9,830","13,065","20,629","61,544"
,本年目標,"163,947","9,737","24,210","33,947","20,050","6,850","9,100","20,000","74,000","130,000"
,本年実績,"175,525","11,008","20,909","31,917","24,514","10,118","9,824","23,379","75,773","143,608"
,前年比%,95,56,54,55,122,46,100,179,123,113
,目標比%,107,113,86,94,122,148,108,117,102,110
売上総利益,前年実績,"47,127","4,226","7,215","11,441","7,755","2,415","5,058","4,185","16,273","35,686"
,本年目標,"46,000","2,400","4,600","7,000","8,300","1,700","3,500","3,700","21,800","39,000"
,本年実績,"45,402","3,887","3,772","7,659","7,495","2,442","4,639","4,288","18,879","37,743"
,前年比%,96.3,92,52.3,66.9,96.6,101.1,91.7,102.5,116,105.8
,目標比%,98.7,162,82,109.4,90.3,143.6,132.5,115.9,86.6,96.8
売上総利益率,前年実績,25,22,19,20,36,25,39,20,26,28
,本年目標,28,25,19,21,41,25,38,19,29,30
,本年実績,25.9,35.3,18,24,30.6,24.1,47.2,18.3,24.9,26.3
,前年比%,101.8,163.8,94.9,121.7,86,97.3,122.8,90.4,94.2,93.4
営業経費,前年実績,"37,058",,,"8,315",,,,,,"28,743"
,本年目標,"39,110",,,"9,217",,,,,,"29,893"
,本年実績,"38,168",,,"7,866",,,,,,"30,302"
,前年比%,103,,,94.6,,,,,,105.4
営業利益,前年実績,"10,069",,,"3,126",,,,,,"6,943"
,本年目標,"6,890",,,"-2,217",,,,,,"9,107"
,本年実績,"7,234",,,-207,,,,,,"7,441"
,前年比%,71.8,,,-6.6,,,,,,107.2
その他損益,営業外収入(リベート),486,,,385,,,,,,101
,営業外費用(雑損失),0,,,0,,,,,,0
,社内利息 A・B,"1,314",,,373,,,,,,941
,本店管理費,"3,661",,,"1,648",,,,,,"2,013"
経常利益,本年目標,"1,529",,,"-4,465",,,,,,"5,994"
,当月経常利益,"2,745",,,"-1,843",,,,,,"4,588"
,目標累積経常利益,"-1,404",,,"-7,414",,,,,,"6,010"
,累計経常利益,"5,101",,,-483,,,,,,"5,584"
