区分（大）,区分（小）,長崎支店 (合計),工事部 (ガラス工事),工事部 (ビルサッシ),工事部 (計),建材部 (硝子工事),建材部 (サッシ工事),建材部 (硝子販売),建材部 (サッシ販売),建材部 (完成品),建材部 (硝子建材計)
売上高,前年実績,"192,605","22,055","47,746","69,801","21,241","5,267","9,318","18,601","68,377","122,804"
,本年目標,"179,550","21,100","28,450","49,550","20,050","6,850","9,100","20,000","74,000","130,000"
,本年実績,"174,267","14,185","43,158","57,343","16,152","4,355","6,751","20,906","68,760","116,924"
,前年比%,90,64,90,82,76,83,72,112,101,95
,目標比%,97,67,152,116,81,64,74,105,93,90
売上総利益,前年実績,"50,375","4,938","6,438","11,376","7,274","3,766","3,622","3,722","20,615","38,999"
,本年目標,"49,300","5,200","5,100","10,300","8,300","1,700","3,500","3,700","21,800","39,000"
,本年実績,"46,388","3,968","6,928","10,896","6,624","1,594","3,101","3,882","20,291","35,492"
,前年比%,92.1,80.4,107.6,95.8,91.1,42.3,85.6,104.3,98.4,91
,目標比%,94.1,76.3,135.9,105.8,79.8,93.8,88.6,104.9,93.1,91
売上総利益率,前年実績,26,22,13,16,34,72,39,20,30,32
,本年目標,27,25,18,21,41,25,38,19,29,30
,本年実績,26.6,28,16.1,19,41,36.6,45.9,18.6,29.5,30.4
,前年比%,101.8,124.9,119.1,115.6,119.8,51.2,118.2,92.8,97.9,95.6
営業経費,前年実績,"38,971",,,"8,896",,,,,,"30,075"
,本年目標,"39,240",,,"9,034",,,,,,"30,206"
,本年実績,"41,451",,,"8,995",,,,,,"32,456"
,前年比%,106.4,,,101.1,,,,,,107.9
営業利益,前年実績,"11,404",,,"2,480",,,,,,"8,924"
,本年目標,"10,060",,,"1,266",,,,,,"8,794"
,本年実績,"4,937",,,"1,901",,,,,,"3,036"
,前年比%,43.3,,,76.7,,,,,,34
その他損益,営業外収入(リベート),736,,,21,,,,,,715
,営業外費用(雑損失),0,,,0,,,,,,0
,社内利息 A・B,"1,402",,,375,,,,,,"1,027"
,本店管理費,"3,661",,,"1,648",,,,,,"2,013"
経常利益,本年目標,"4,699",,,-982,,,,,,"5,681"
,当月経常利益,610,,,-101,,,,,,711
,目標累積経常利益,"3,295",,,"-8,396",,,,,,"11,691"
,累計経常利益,"5,711",,,-584,,,,,,"6,295"
