display_value の SUM,,,,main_department_sort_order,main_department,secondary_department_sort_order,secondary_department,,,,,,,,
,,,,3,,,,,,,,,,,
,,,,福岡支店,,,,,,,,,,,
,,,,100,101,102,103,104,106,107,108,109,110,199,
main_category_sort_order,main_category,secondary_category_sort_order,secondary_category,福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子,建材,樹脂,GSセンター,福北センター,硝子樹脂計,未分類
1,売上高,1,前年実績(千円),299249,168665,113626,38816,16222,53492,76486,607,0,0,130585,0
,,2,本年目標(千円),303361,146600,118600,10000,18000,53500,75363,15000,0,0,143863,0
,,3,本年実績(千円),260247,153112,130972,7245,14895,45412,52319,861,0,8544,98591,0
,,4,前年比(%),0.8696664351,0.9077891545,1.152654865,0.186650316,0.9181730901,0.8489508594,0.6840294891,1.418444042,0,0,0.7549988399,0
,,5,目標比(%),0.8578793747,1.044420321,1.104316855,0.7245,0.8275022222,0.848820486,0.6942238366,0.05737133333,0,0,0.6853135066,0
2,売上総利益,1,前年実績(千円),47264,20315,11664,1932,6720,10756,15955,239,0,0,26949,0
,,2,本年目標(千円),67350,25595,19595,500,5500,11500,18141,3000,0,0,32641,0
,,3,本年実績(千円),46793,12648,7416,555,4677,10936,14904,277,0,8028,26117,0
,,4,前年比(%),0.9900259377,0.6225760851,0.6358037351,0.2872954831,0.6960038383,1.016799935,0.9341795922,1.158270038,0,0,0.9691403989,0
,,5,目標比(%),0.6947731997,0.4941513968,0.3784563409,1.11,0.8503550909,0.9509958261,0.8215865167,0.09220833333,0,0,0.8001433167,0
3,売上総利益率,1,前年実績(千円),0.1579431589,0.1204476784,0.1026499819,0.04976849693,0.4142230455,0.201073047,0.2085937426,0.3936476018,0,0,0.2063727829,0
,,2,本年目標(千円),0.2220127175,0.1745907231,0.1652192243,0.05,0.3055555556,0.214953271,0.2407149397,0.2,0,0,0.2268894712,0
,,3,本年実績(千円),0.1798020685,0.08260491294,0.05662166867,0.07660455487,0.3139939873,0.2408279099,0.2848766326,0.3214439267,0,0.939585099,0.2649066337,0
,,4,前年比(%),1.138397318,0.6858157338,0.5515994025,1.53921777,0.758031188,1.197713535,1.365700759,0.8165778865,0,0,1.28363164,0
,,5,目標比(%),0.8098728331,0.4731346059,0.3427062977,1.532091097,1.027616686,1.12037332,1.18346054,1.607219633,0,0,1.167558072,0
4,営業経費,1,前年実績(千円),39488,9582,,,,,,,0,0,27805,
,,2,本年目標(千円),48354,16697,,,,,,,1371,,22404,
,,3,本年実績(千円),46630,8492,,,,,,,1445,7474,29219,
,,4,前年比(%),1.180869462,0.8863138855,,,,,,,0,0,1.050844062,
,,5,目標比(%),0.9643438805,0.5086102893,,,,,,,1.054144996,0,1.304168952,
5,営業利益,1,前年実績(千円),7777,10734,,,,,,,-1445,0,-856,
,,2,本年目標(千円),18996,8898,,,,,,,-371,,10237,
,,3,本年実績(千円),163,4156,,,,,,,-1445,554,-3101,
,,4,前年比(%),0.02097191614,0.3871480665,,,,,,,1,0,3.623777916,
,,5,目標比(%),0.008585544325,0.4670194426,,,,,,,3.895506173,0,-0.3029328133,
6,営業外収入（リベート）,3,本年実績(千円),214,159,,,,,,,0,0,55,
7,営業外収入（その他）,3,本年実績(千円),293,0,,,,,,,4,75,214,
8,営業外費用（社内利息A・B）,3,本年実績(千円),0,2263,,,,,,,0,0,1894,
9,営業外費用（雑損失）,3,本年実績(千円),0,0,,,,,,,0,0,0,
10,本店管理費,3,本年実績(千円),3855,1648,,,,,,,0,0,2207,
11,経常利益,1,本年目標(千円),9873,4131,,,,,,,-351,0,5761,
,,2,本年実績(千円),-3185,403,,,,,,,-1441,629,-6933,
,,3,累積本年目標(千円),9873,4131,,,,,,,-351,,5761,
,,4,累積本年実績(千円),65285,88417,,,,,,,-7832,629,-37570,
